x	data
0.000000000000000000e+00	-2.169481277465820312e+01
5.000000000000000000e-01	-6.785880088806152344e+00
1.000000000000000000e+00	9.591994285583496094e-01
1.500000000000000000e+00	5.248320102691650391e+00
2.000000000000000000e+00	1.150516891479492188e+01
2.500000000000000000e+00	-1.582868289947509766e+01
3.000000000000000000e+00	-4.828377723693847656e+00
3.500000000000000000e+00	-5.323834419250488281e+00
4.000000000000000000e+00	7.458078861236572266e-02
4.500000000000000000e+00	1.021600341796875000e+01
5.000000000000000000e+00	1.243413567543029785e+00
5.500000000000000000e+00	1.934058070182800293e+00
6.000000000000000000e+00	-6.336292266845703125e+00
6.500000000000000000e+00	4.658259391784667969e+00
7.000000000000000000e+00	6.494214534759521484e+00
7.500000000000000000e+00	-1.325722694396972656e+01
8.000000000000000000e+00	6.198097229003906250e+00
8.500000000000000000e+00	8.517469406127929688e+00
9.000000000000000000e+00	-2.559494972229003906e-01
9.500000000000000000e+00	2.734895706176757812e+00
